device_globalid,servicecomponent_globalid
42aee042f22fc71e8ed6473b1850facf,48b2b5e0e38048de8dd9da03825a4d02
41e987a3cdbf3ffcae7bd0d6a401fd8c,4fe0104571c9b11ca41a1b30fbc42f28
472a981bcee4af2096a3fa7d40238fc5,4fe0104571c9b11ca41a1b30fbc42f28
4ccfba854822f3a3bc302679bf676f35,4fe0104571c9b11ca41a1b30fbc42f28
47f6248ebc8515139a5abbc393417e89,4b7c7dd17b31845f8e618a79adc5eaef
498c74cee01f07f683b6c11bfd6516bb,4fe0a798c6c45febaf42a2c982138538
4964b6604adcdcf7857d1ed272ef265a,4b7c1c95f962a4eca773a080327eb7f2
47ae34848f9275acb2eed62cb78ab9ac,48b2b5e0e38048de8dd9da03825a4d02
4a3ca0e98f9c2d28968160c2a40e17b8,4db90b6ae4c320f7966b16f52780fe93
421b6b2ac292ae63987cf22c044e1326,47d489e637e1c35ebff0a9eeaddc51fc
4dc07d72322b2b2e839b71b1a6fea799,4b7c1c95f962a4eca773a080327eb7f2
4f88f34b0effd2eeb603f228ed3831dc,4dd289e982f81b08acec0688affce79f
4810f6868caf5c60b9c34980d7d37b13,4fe0104571c9b11ca41a1b30fbc42f28
423a7e2d1ff6010ab8cacabf37633ef9,47d489e637e1c35ebff0a9eeaddc51fc
42388c80f0756111b30873a458242d34,439a239ec4e6b7bda462ead9769c4739
4fda52c765906a1f9419e94d346498ef,40bf02cd613c5a7693a5971b94428196
4eceae13730fd327836466774dcac0b5,4c9520e39ddce949af705ca803099aa4
48e6c0c0ffe1e697ab4d5c92d82cffe9,45a5b1057e80abc293cbfe82092c915e
421a75f95480d500b585240276fc895c,4fe0104571c9b11ca41a1b30fbc42f28
43103fade7ab6d0bbbce9dbba552cf94,4d8a78a2c30ff4e4b914964268bda09f
4d19f419b26b43a6bc9d2036d9c8a8b0,4a6cb2adcddb27a1b76e661557a6e71c
45ac4445e5897d1abdeb902538ca4f09,478b82716a929401a937459d93cbd2c3
4679e7e4146eac6db821078fb843eb43,47d489e637e1c35ebff0a9eeaddc51fc
47f4380f29696f06871cd2ac1ec1e0ea,4feda6b3f61ee3c8bec730c1a808816a
459a4afe6a837851b84df832c0d112a0,4d8a78a2c30ff4e4b914964268bda09f
418a1facf402935287346d2240345a19,4dd2f0db003d24a7a965e0b37ce2cc11
431fef0e4cd014a0a0f55ece285c7cd5,45a5b1057e80abc293cbfe82092c915e
47bb7061095d4886a136d80edd3ef2c6,4b7c7dd17b31845f8e618a79adc5eaef
403728883486fe49a4b9475e8309dbc2,47d489e637e1c35ebff0a9eeaddc51fc
47d4e50baa369ad6b9ab1361272b663e,48b2b5e0e38048de8dd9da03825a4d02
4c3ceb7b8e70c112b77e288ff2101ff4,4fe0104571c9b11ca41a1b30fbc42f28
4e4054fccea63a369433da866c5d00ec,4fe0104571c9b11ca41a1b30fbc42f28
4bbbf6d52808491583e1cc3fdf8a1285,4a2571b815417b46860794b92ea890e1
4f4ba38c411fc55db9bd3125d7560f3d,4fbe35cba54e5a72a78c08013fa153da
40fa220e5b9a245387d9b58f46973731,4d881d56da051916848dc2ef2c5e2911
44c5c11038bbf97b85d6ad50461b1c8b,45a5b1057e80abc293cbfe82092c915e
484fadeaef1be90b9f43cfefd6676e5a,439a239ec4e6b7bda462ead9769c4739
4980855872fbb80cbee2d71067c18f44,48b2b5e0e38048de8dd9da03825a4d02
43c1e5931ece8819a9c9ef578ce5922c,4fe0a798c6c45febaf42a2c982138538
4a02e58848fd20e1ac77383743ee0d91,4fe0104571c9b11ca41a1b30fbc42f28
436afbda8453444eb731b8246b1e35d8,4fe0104571c9b11ca41a1b30fbc42f28
4f25ec4ab4440eb5bca66a5d72434e3e,40d071fdee3b145f9ce258a29f686ed9
4c8869f3bcd8a940950f981748728dc2,4fe0104571c9b11ca41a1b30fbc42f28
4da56478d4551e06a4f6f17eec757e6e,4150ef05dddac6a3bc291e8a61e2fe77
487b01e0ad9a98c2aa4e1fc1673bd0b1,46721cbd6731e941bd20100971ce4963
47753ab93843159eae9ad134c5b72591,4b7c7dd17b31845f8e618a79adc5eaef
4f684b56ff590a4f98118c158c4f96fa,4fe0104571c9b11ca41a1b30fbc42f28
425e8d1eb6659b499a147d58db9bed78,4fe0104571c9b11ca41a1b30fbc42f28
4a288f5bac7ff2a283553ba5cab7ae49,4feda6b3f61ee3c8bec730c1a808816a
44cfe9e0ad934872939277a589b8a134,48b2b5e0e38048de8dd9da03825a4d02
4ee56d5bb6229acdbf01810cc364b400,478b82716a929401a937459d93cbd2c3
4b9b5494f1ce73e6a196c263286a61d8,4fe0104571c9b11ca41a1b30fbc42f28
465b56bb8a61a7b0b06a4600e3f1d5d5,4c6042916c1853df92ea09919ff503da
47251175c8cb9396927d335c67dd15b4,478b82716a929401a937459d93cbd2c3
4f69978a01c4315c8976f93e57148207,4a2571b815417b46860794b92ea890e1
482dffc3c2123bc79dda1560b5204d8c,4e0346f0d0c645178768e07eb79c76b2
4893fd564f98a6289c746983000800da,47d489e637e1c35ebff0a9eeaddc51fc
4f4ba38c411fc55db9bd3125d7560f3d,46792e8ea760b33296106c8c1e12762b
4b05d0b63aae20fdb2c65e1533f9ac70,4fe0104571c9b11ca41a1b30fbc42f28
44b47b052232ba75ae0fe7a695e5fb45,4fe0104571c9b11ca41a1b30fbc42f28
422e2573c1fce299a7cd4ac54d3b0c16,4150ef05dddac6a3bc291e8a61e2fe77
46c95bb784d6ea4bacae49085e774c55,48b2b5e0e38048de8dd9da03825a4d02
46e0df2199a538e8b2d3f771986845f2,48b2b5e0e38048de8dd9da03825a4d02
4eb345cccb79ca35a7afae08644cd766,4fe0104571c9b11ca41a1b30fbc42f28
4f4e7ad6f18686eea4d86d4504661d09,4c7361f24c047008b55e8b05025b9b23
4cb28fa840ba410dbd7b6157d97791f0,4b7c1c95f962a4eca773a080327eb7f2
438564d87bb22260bf75ed59c89e3c61,4a6f5f16351179de84e1dfba6ffdfd84
4ad5d6949917e64f9f00d8f6d9ca7c06,48b2b5e0e38048de8dd9da03825a4d02
4b1849a92091ac6bb9ebfee489cecffc,4454e78a9fc928f3a710c3285c29ccb4
496a615723a3895388b1b00ecc5b8785,4b7c1c95f962a4eca773a080327eb7f2
44a013477a21ea14be507d2ca96740ac,48b2b5e0e38048de8dd9da03825a4d02
4254cb087360c78aa4859ff200fc175d,48b2b5e0e38048de8dd9da03825a4d02
4185dd8cf7e0382fba932018a3943e43,42910e1fb9bcf162b81efe8c218a7b3a
4643a6cbdbb55a398c08962184a1ab25,4b7c1c95f962a4eca773a080327eb7f2
40ff5ead429e928cb09c0cf60bc4b6d3,4d8a78a2c30ff4e4b914964268bda09f
46a6e00605cea4d8b8e001e71c539c83,4150ef05dddac6a3bc291e8a61e2fe77
4e206f5b70457d4c9b775ce96a3b9efe,4fe0104571c9b11ca41a1b30fbc42f28
45c54910777a499ba75a7a24b38fdff7,4fe0104571c9b11ca41a1b30fbc42f28
481b869ec1c0880f8790bc0feaa0fe97,4fe0104571c9b11ca41a1b30fbc42f28
4a1481c6caa08b57a649c163678a4e85,4d881d56da051916848dc2ef2c5e2911
46a3e754bf60bdc7b2a2f41c3563a1d9,439a239ec4e6b7bda462ead9769c4739
4ee34a7d1c2f0e5398c266273e75bdce,4fe0104571c9b11ca41a1b30fbc42f28
477f828d5a8d2ddcb900d6a67a832ca6,4a827064256f7d8cb866921a80841e0d
485158f22a50586082199e7f95e90bb0,4b7c1c95f962a4eca773a080327eb7f2
46d1112e7bab42bc918ad86ec52ff36e,439a239ec4e6b7bda462ead9769c4739
446b14862f171ac1baf2ca7520f02153,439a239ec4e6b7bda462ead9769c4739
4a0961605f991bb4b85f5aa0f7dbb6b9,4fe0104571c9b11ca41a1b30fbc42f28
4697f1469016d2b980b2388d8c11e82e,4fe0104571c9b11ca41a1b30fbc42f28
4402766c7a3b4c229e212d2677df6b11,4d8a78a2c30ff4e4b914964268bda09f
4eb425a2060b7293804c9d314937b351,4db90b6ae4c320f7966b16f52780fe93
473621cf22bc28a39f2aec17ff5ff944,46721cbd6731e941bd20100971ce4963
4c8aeaf25104e1889c32a0f772c5ab6a,439a239ec4e6b7bda462ead9769c4739
4b32a50320100267b3dd815da64f82f3,4c7361f24c047008b55e8b05025b9b23
457992c705f9905f929aeb5de9b0de79,40bf02cd613c5a7693a5971b94428196
4405e47c30957571a3c283e93bd3833e,49f2c825d3563da6898a3431936e3c83
41fe2635ebd446d2b278ff70ad4431f9,4fe0104571c9b11ca41a1b30fbc42f28
4f870351d1860b80a2008a5caeefc75a,4fe0104571c9b11ca41a1b30fbc42f28
48fdc4ac23fce13b82df21d58d3f6cfd,4d881d56da051916848dc2ef2c5e2911
4e72dd793aed62a39ab7dfe6268dd0c8,48b2b5e0e38048de8dd9da03825a4d02
451eda0a7ca06e199f9a2d3b5f69b203,48b2b5e0e38048de8dd9da03825a4d02
4cb96f8e84d52e31a855394c8bfb8957,4dd7eea0a11ac210b00756338e014f80
44b35ae1db59674ebcc489b44d268ee4,47d489e637e1c35ebff0a9eeaddc51fc
415edfec49777b80b5b15ece78a72307,4fe0104571c9b11ca41a1b30fbc42f28
45848044c1c82340ab5f828ca9c2aa87,4feda6b3f61ee3c8bec730c1a808816a
4545252449ed9202af03816233e80051,4fe0104571c9b11ca41a1b30fbc42f28
4fbcf5608c049fc49873981b85354abb,4af1436f3126554cba4cb49386a9b8ce
41219c23fa63280188662f585f08c420,4fe0104571c9b11ca41a1b30fbc42f28
4c19527a5264bf2e8fbd088483cc4f60,4af17220851dfcd1a91dc4e1064f6a32
460cfcb1d98023788d7798d8c6d6c961,4fe0104571c9b11ca41a1b30fbc42f28
45f475e41afd569188a719dd7f60508f,49f2c825d3563da6898a3431936e3c83
42eff6839a2b706cacbd825aa0e8aac7,4a5788707c9043199e6e83c358d45b08
42b9e000b0bb5e078444a8ea069cadae,4b7c1c95f962a4eca773a080327eb7f2
4410686b47e606c6a3f17f3facad3522,439a239ec4e6b7bda462ead9769c4739
4d0384cb5b8561bca612ddbb4e738b6b,40c7a93a26ce4648b0bafbf5650e98b8
48c740617941b663b851f7d5f2be64d2,4d8a78a2c30ff4e4b914964268bda09f
4d74d5b3e9a22fa5bce397d252cbc5bd,4150ef05dddac6a3bc291e8a61e2fe77
4d354f09d1eae4af8c60d14a9f6344e7,40b87ce77cbf8bb1b772d8b36f5f6395
48189605142a2875a675ad49d65ff41d,48b2b5e0e38048de8dd9da03825a4d02
4c556ef149c9d88b9cc049cc9ced567c,4c7361f24c047008b55e8b05025b9b23
43d1cb785d416690b5ea64d414b2571d,4d881d56da051916848dc2ef2c5e2911
4b9b8c43d968ae9b888a8cfb15ba0b5e,4fe0104571c9b11ca41a1b30fbc42f28
49e1b56348238c5bbe5655d7567d7bd8,4b7c1c95f962a4eca773a080327eb7f2
4873fad31cd5f8d09b45214329c82caa,4d881d56da051916848dc2ef2c5e2911
4e7428860553e84e8017b3a292dff747,40d071fdee3b145f9ce258a29f686ed9
4f72d3ffe1839f03a5490c32093fb555,4db90b6ae4c320f7966b16f52780fe93
